--- Log Session Started: 2026-01-24 02:43:41 ---
[Watcher] Using Portable Tesseract: D:\ML\lol-overlay\backend\Tesseract-OCR\tesseract.exe
[Server] ✅ 빌드 데이터 로드 완료 (172 champions)
--- Starting Background Threads ---
[Server] AugmentWatcher Thread Starting (Attempt 1)...
[Server] GameFlow Monitor Started...
[Server] 🛡️ 상점 감시 스레드 시작 (좀비 모드)
[Watcher] Button template loaded: D:\ML\lol-overlay\backend\assets\augment_confirm_button.png
[Watcher] Loaded 153 valid augment names.
[Watcher] OCR Monitoring started (Button Detection Mode)...[Server] AugmentWatcher Started Successfully.

WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
[GameFlow] None -> Lobby
[GameFlow] Lobby -> ChampSelect
[Server] 🔄 상태 초기화
[GameFlow] ChampSelect -> InProgress
[Server] 🎮 게임 중 챔피언 재확인 완료: Belveth
127.0.0.1 - - [24/Jan/2026 02:46:31] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:31] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:31] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:31] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:32] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:32] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:32] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:32] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:33] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:33] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:33] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:33] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:34] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:34] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:34] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:35] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:35] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:35] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:35] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:36] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:36] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:36] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:36] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:37] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:37] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:37] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:37] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:38] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:38] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:38] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:38] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:39] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:39] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:39] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:39] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:40] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:40] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:40] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:40] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:41] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:41] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:41] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:42] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:42] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:42] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:42] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:43] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:43] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:43] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:43] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:44] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:44] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:44] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:44] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:45] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:45] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:45] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:45] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:46] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:46] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:46] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:46] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:47] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:47] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:47] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:47] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:48] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:48] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:48] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:48] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:49] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:49] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:50] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:50] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:50] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:50] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:51] "GET /champion/build HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:51] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:51] "GET /champ-select HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:51] "GET /augments/current HTTP/1.1" 200 -
127.0.0.1 - - [24/Jan/2026 02:46:51] "GET /champion/build HTTP/1.1" 200 -
